#WRname  iseg  wellnum  welllay  wellrow  wellcol  startyr  dpt  swu  swufrac   pctsup  swfrfrac  swfr  welleff  realwell  wryr  source  desc  row  col  acres
            064            762               5               4             151              74            2014  .015966359    .023146427   .797631410530     .3220310316     .9296721578900  .9638134211  .41723864211      APP-83850     1861    AllermanCanal    acres=104.54    150    76    104.54
            064            762               6               4             152              75            1966  .015966359    .023146427   .797631410530     1.152464421     .9296721578900  .9638134211  .22243001053      APP-22942     1861    AllermanCanal    acres=104.54    150    76    104.54
            065            905               7               4             150              79            1964  .018496194    .019190873   .850717389470     .0912580484     .8562657789500  .9794704000  .94640124211      APP-22249     1875    AllermanCanal    acres=40.86    148    78    40.86
            065            905               8               4             151              74            2014  .018496194    .019190873   .850717389470     .1988105158     .8562657789500  .9794704000  .19518404211      APP-83850     1875    AllermanCanal    acres=40.86    148    78    40.86
            065            905               9               4             152              75            1966  .018496194    .019190873   .850717389470     .9806840105     .8562657789500  .9794704000  .55713897895      APP-22942     1875    AllermanCanal    acres=40.86    148    78    40.86
            066           1043              10               4             150              79            1964  .012966586    .020540268   .747601484210     .03024993474     .7895586947400  .9799442737  .949862736840      APP-22249     1888    AllermanCanal    acres=25.7    148    76    25.7
            066           1043              11               4             143              80            1997  .012966586    .020540268   .747601484210     .01548098000     .7895586947400  .9799442737  .824896157890      APP-63320     1888    AllermanCanal    acres=25.7    148    76    25.7
            066           1043              12               4             152              75            1966  .012966586    .020540268   .747601484210     .01868858842     .7895586947400  .9799442737  .462116305260      APP-22942     1888    AllermanCanal    acres=25.7    148    76    25.7
            066           1043              13               4             151              74            2014  .012966586    .020540268   .747601484210     .08396688842     .7895586947400  .9799442737  .999434989470      APP-83850     1888    AllermanCanal    acres=25.7    148    76    25.7
            067           1067              14               4             150              79            1964  .012204995    .086235874   .861275252630     .14507343158     .8485456526300  .1574721474  1.05667410530      APP-22249     1893    AllermanCanal    acres=4.67    154    78    4.67
            067           1067              15               4             151              74            2014  .012204995    .086235874   .861275252630     .19450093684     .8485456526300  .1574721474  .415710231580      APP-83850     1893    AllermanCanal    acres=4.67    154    78    4.67
            067           1067              16               4             152              75            1966  .012204995    .086235874   .861275252630     .01939656000     .8485456526300  .1574721474  1.09095336840      APP-22942     1893    AllermanCanal    acres=4.67    154    78    4.67
            068            763              17               4             139              80            1961  .018542489    .008454355   .787674600000     .01030264105     .8036474315800  .7212125474  .154802621050      APP-47104     1861    AllermanCanal    acres=39.95    143    77    39.95
            069            906              18               4             139              80            1961  .132516308    .044763780   .815750642110     .02901987474     .8360227263200  .3055429474  .888384936840      APP-47104     1875    AllermanCanal    acres=40.18    140    77    40.18
            070           1000              19               4             139              80            1961  .043913793    .035933788   .739223326320     .10001040316     .7829860736800  .1753559158  .540296515790      APP-47104     1880    AllermanCanal    acres=113.19    139    77    113.19
            071            907              20               4             139              80            1961  .008320616    .018787812   .824818810530     .05576963368     .8925403368400  .8420924105  .322015894740      APP-47104     1875    AllermanCanal    acres=31.82    144    78    31.82
            072           1145              21               4             134              77            1959  .003517028    .027941321   .821713357890     .81942863158     .8849323473700  .4151082947  .688437726320      APP-18095     1905    AllermanCanal    acres=66.68    134    74    66.68
            073           1146              22               4             134              77            1959  .001722277    .052007409   .819086831580     .11616500000     .9816247789500  .7923864632  .043135398947      APP-18095     1905    AllermanCanal    acres=22.78    134    75    22.78
            074           1147              NA              NA              NA              NA              NA  .062688394    .031598826   .793991673680                 NA     .8203385684200  .4678196105              NA             NA      1905    AllermanCanal    acres=305.21    124    72    305.21
           074a           1142              NA              NA              NA              NA              NA  .0136696811    .0294774095   .7786556947400                 NA     .83313372632000  .45703575789              NA             NA      1903    AllermanCanal    acres=30.02    122    73    30.02
            075           1148              NA              NA              NA              NA              NA  .067161858    .020462433   .790396326320                 NA     1.017810000000  .5465587263              NA             NA      1906    AllermanCanal    acres=40.51    129    73    40.51
            076           1040              23               4             118              67            1956  .066966103    .012565206   .846363873680     .24990768421     .8635521157900  .8173898842  .117987789470      APP-67941     1887    AllermanCanal    acres=47.02    116    66    47.02
            076           1040              24               4             119              66            1956  .066966103    .012565206   .846363873680     .07156824842     .8635521157900  .8173898842  .754123957890      APP-67932     1887    AllermanCanal    acres=47.02    116    66    47.02
            076           1040              25               4             118              66            1956  .066966103    .012565206   .846363873680     .04752301474     .8635521157900  .8173898842  .391595105260      APP-67933     1887    AllermanCanal    acres=47.02    116    66    47.02
            076           1040              26               4             117              66            1956  .066966103    .012565206   .846363873680     .14603087368     .8635521157900  .8173898842  .665160252630      APP-67934     1887    AllermanCanal    acres=47.02    116    66    47.02
            076           1040              27               4             119              67            1956  .066966103    .012565206   .846363873680     .17373703158     .8635521157900  .8173898842  .239928463160      APP-67942     1887    AllermanCanal    acres=47.02    116    66    47.02
            077           1143              NA              NA              NA              NA              NA  .072514519    .017118243   .739398389470                 NA     .7921778842100  .2746016000              NA             NA      1903    AllermanCanal    acres=12.99    117    67    12.99
            078           1041              28               4             116              66            1956  8.36596E-4    .031447478   .722203126320     .03658525474     .8865892526300  .2378041790  1.06679153680      APP-67937     1887    AllermanCanal    acres=32.84    115    66    32.84
            078           1041              29               4             116              65            1956  8.36596E-4    .031447478   .722203126320     .12136166316     .8865892526300  .2378041790  1.09920189470      APP-67936     1887    AllermanCanal    acres=32.84    115    66    32.84
            079           1078              NA              NA              NA              NA              NA  .092858956    .027307686   .783634778950                 NA     .8560126842100  .7427241789              NA             NA      1895    AllermanCanal    acres=137.19    116    70    137.19
            080           1021              30               4             100              58            1928  .001811879    .030678191   .785782600000     .06449866526     .7974442210500  .2060575684  .089405157895      APP-69537     1883    VirginiaDitch    acres=219.31    108    62    219.31
            080           1021              31               4             114              65            1947  .001811879    .030678191   .785782600000     .08757864737     .7974442210500  .2060575684  .413460242110      APP-55356     1883    VirginiaDitch    acres=219.31    108    62    219.31
            080           1021              32               4             100              58            1928  .001811879    .030678191   .785782600000     .04595350421     .7974442210500  .2060575684  .414373800000      APP-69538     1883    VirginiaDitch    acres=219.31    108    62    219.31
            080           1021              33               4             114              65            1947  .001811879    .030678191   .785782600000     .16731404211     .7974442210500  .2060575684  .686019568420      APP-55336     1883    VirginiaDitch    acres=219.31    108    62    219.31
            081            744              34               4             100              58            1928  .011908869    .007667152   .913008526320     .03632182842     .8612668000000  .9994769474  .467569442110      APP-69537     1860    VirginiaDitch    acres=75.79    112    58    75.79
            081            744              35               4             100              58            1928  .011908869    .007667152   .913008526320     .17945782105     .8612668000000  .9994769474  .141226757890      APP-69538     1860    VirginiaDitch    acres=75.79    112    58    75.79
            081            744              36               4             114              65            1947  .011908869    .007667152   .913008526320     .09683069684     .8612668000000  .9994769474  .869664831580      APP-55336     1860    VirginiaDitch    acres=75.79    112    58    75.79
            082            787              37               4             100              58            1928  .012249757    .022503558   .793966494740     .29972849474     .8493272631600  .0203192863  .291460589470      APP-69537     1863    VirginiaDitch    acres=76.81    111    61    76.81
            082            787              38               4             100              58            1928  .012249757    .022503558   .793966494740     .05007708842     .8493272631600  .0203192863  1.07411989470      APP-69538     1863    VirginiaDitch    acres=76.81    111    61    76.81
            082            787              39               4             114              65            1947  .012249757    .022503558   .793966494740     .09742497474     .8493272631600  .0203192863  .231503157890      APP-55336     1863    VirginiaDitch    acres=76.81    111    61    76.81
            083            928              40               4             100              58            1928  .005583223    .025824558   .906427578950     .07996299579     .9207185789500  .2270530737  .681174842110      APP-69537     1877    VirginiaDitch    acres=680.51    105    56    680.51
            083            928              41               4             114              65            1947  .005583223    .025824558   .906427578950     .05930076211     .9207185789500  .2270530737  .713772000000      APP-55356     1877    VirginiaDitch    acres=680.51    105    56    680.51
            083            928              42               4             100              58            1928  .005583223    .025824558   .906427578950     .10197224947     .9207185789500  .2270530737  .006461115053      APP-69538     1877    VirginiaDitch    acres=680.51    105    56    680.51
            083            928              43               4             114              65            1947  .005583223    .025824558   .906427578950     .04419545368     .9207185789500  .2270530737  .380606821050      APP-55336     1877    VirginiaDitch    acres=680.51    105    56    680.51
            084           1079              44               4             100              58            1928  .023802393    .022387861   .809916747370     .05141856316     .7998542526300  .6439753684  .381663600000      APP-69537     1895    AllermanCanal    acres=64.12    104    63    64.12
            084           1079              45               4             114              65            1947  .023802393    .022387861   .809916747370     .03382910421     .7998542526300  .6439753684  .067978455789      APP-55336     1895    AllermanCanal    acres=64.12    104    63    64.12
            084           1079              46               4             114              65            1947  .023802393    .022387861   .809916747370     .13053452632     .7998542526300  .6439753684  .838212757890      APP-55356     1895    AllermanCanal    acres=64.12    104    63    64.12
            084           1079              47               4             100              58            1928  .023802393    .022387861   .809916747370     .07001455579     .7998542526300  .6439753684  .187244168420      APP-69538     1895    AllermanCanal    acres=64.12    104    63    64.12
            085           1022              48               4             100              58            1928  .008295052    .001463222   .830657821050     .01149501684     1.027102421100  .9944640000  .413404410530      APP-69537     1883    VirginiaDitch    acres=19.98    110    64    19.98
            085           1022              49               4             100              58            1928  .008295052    .001463222   .830657821050     .07479661684     1.027102421100  .9944640000  .972046421050      APP-69538     1883    VirginiaDitch    acres=19.98    110    64    19.98
            085           1022              50               4             114              65            1947  .008295052    .001463222   .830657821050     .03045935790     1.027102421100  .9944640000  .385328884210      APP-55336     1883    VirginiaDitch    acres=19.98    110    64    19.98
            086           1080              NA              NA              NA              NA              NA  .024865463    .019417340   .803265789470                 NA     .8940639052600  .8305455474              NA             NA      1895    AllermanCanal    acres=83.42    112    69    83.42
            087           1002              51               4             103              68            1965  .076000849    5.86541E-4   .782210631580     .15827177895     .8082000105300  .1976557158  .334673768420      APP-53869     1881    VirginiaDitch    acres=45.88    107    64    45.88
            087           1002              52               4             100              58            1928  .076000849    5.86541E-4   .782210631580     .19958905263     .8082000105300  .1976557158  1.09704252630      APP-69537     1881    VirginiaDitch    acres=45.88    107    64    45.88
            087           1002              53               4             100              58            1928  .076000849    5.86541E-4   .782210631580     .15447742105     .8082000105300  .1976557158  .030159798947      APP-69538     1881    VirginiaDitch    acres=45.88    107    64    45.88
            087           1002              54               4             114              65            1947  .076000849    5.86541E-4   .782210631580     .48099049474     .8082000105300  .1976557158  .555633936840      APP-55336     1881    VirginiaDitch    acres=45.88    107    64    45.88
            088           1013              NA              NA              NA              NA              NA  .159884116    .012016496   .777817094740                 NA     .7062108842100  .2367899474              NA             NA      1882    AllermanCanal    acres=4.8    112    67    4.8
            089           1081              55               4             100              58            1928  .007409796    .046031663   .775766094740     .11501352632     .8855438842100  .1491027158  .999732357890      APP-69537     1895    AllermanCanal    acres=163.27    108    67    163.27
            089           1081              56               4             114              65            1947  .007409796    .046031663   .775766094740     .10870306316     .8855438842100  .1491027158  .339565084210      APP-55336     1895    AllermanCanal    acres=163.27    108    67    163.27
