EF2	2/11/2001	00:00:00	1.00
EF2	2/12/2001	00:00:00	1.00
EF2	2/13/2001	00:00:00	1.00
EF2	2/14/2001	00:00:00	1.00
EF2	2/15/2001	00:00:00	1.00
EF2	2/16/2001	00:00:00	1.00
EF2	2/17/2001	00:00:00	1.00
EF2	2/18/2001	00:00:00	1.00
EF2	2/19/2001	00:00:00	1.00
EF2	2/20/2001	00:00:00	1.00
EF2	2/21/2001	00:00:00	1.00
EF2	2/22/2001	00:00:00	1.00
EF2	2/23/2001	00:00:00	1.00
EF2	2/24/2001	00:00:00	1.00
EF2	2/25/2001	00:00:00	1.00
EF2	2/26/2001	00:00:00	1.00
EF2	2/27/2001	00:00:00	1.00
EF2	2/28/2001	00:00:00	1.00
EF2	3/1/2001	00:00:00	1.00
EF2	3/2/2001	00:00:00	1.00
EF2	3/3/2001	00:00:00	1.00
EF2	3/4/2001	00:00:00	1.00
EF2	3/5/2001	00:00:00	1.00
EF2	3/6/2001	00:00:00	1.00
EF2	3/7/2001	00:00:00	1.00
EF2	3/8/2001	00:00:00	1.00
EF2	3/9/2001	00:00:00	1.00
EF2	3/10/2001	00:00:00	1.00
EF2	3/11/2001	00:00:00	1.00
EF2	3/12/2001	00:00:00	1.00
EF2	3/13/2001	00:00:00	1.00
EF2	3/14/2001	00:00:00	1.00
EF2	3/15/2001	00:00:00	1.00
EF2	3/16/2001	00:00:00	1.00
EF2	3/17/2001	00:00:00	1.00
EF2	3/18/2001	00:00:00	1.00
EF2	3/19/2001	00:00:00	1.00
EF2	3/20/2001	00:00:00	0.97
EF2	3/21/2001	00:00:00	0.97
EF2	3/22/2001	00:00:00	0.93
EF2	3/23/2001	00:00:00	0.93
EF2	3/24/2001	00:00:00	0.91
EF2	3/25/2001	00:00:00	0.91
EF2	3/26/2001	00:00:00	0.91
EF2	3/27/2001	00:00:00	0.86
EF2	3/28/2001	00:00:00	0.81
EF2	3/29/2001	00:00:00	0.81
EF2	3/30/2001	00:00:00	0.78
EF2	3/31/2001	00:00:00	0.78
EF2	4/1/2001	00:00:00	0.81
EF2	4/2/2001	00:00:00	0.80
EF2	4/3/2001	00:00:00	0.80
