obsnme,head,date,time
ob_14_15,4798.79641,1982-05-19,00:00:00
ob_14_16,4799.71641,1982-06-22,00:00:00
ob_14_17,4799.75641,1982-07-19,00:00:00
ob_14_18,4799.89641,1982-08-16,00:00:00
ob_14_19,4798.98641,1982-09-22,00:00:00
ob_14_20,4799.63641,1982-10-20,00:00:00
ob_14_21,4799.446410000001,1983-02-24,00:00:00
ob_14_22,4800.14641,1983-05-19,00:00:00
ob_14_23,4801.33641,1983-07-12,00:00:00
ob_14_24,4801.50641,1983-08-16,00:00:00
ob_14_25,4800.92641,1983-10-21,00:00:00
ob_14_26,4798.87641,1985-12-10,00:00:00
ob_14_27,4799.56641,1986-03-11,00:00:00
ob_14_28,4800.77641,1986-08-18,00:00:00
ob_14_29,4799.22641,1987-03-09,00:00:00
ob_14_30,4799.00641,1987-11-13,00:00:00
ob_14_31,4798.71641,1987-12-08,00:00:00
ob_14_32,4798.09641,1988-03-08,00:00:00
ob_14_33,4798.92641,1988-06-06,00:00:00
ob_14_34,4798.29641,1988-07-12,00:00:00
ob_14_35,4798.24641,1988-08-16,00:00:00
ob_14_36,4793.43641,1988-09-19,00:00:00
ob_14_37,4798.14641,1989-09-14,00:00:00
ob_14_38,4796.74641,1990-03-20,00:00:00
ob_14_39,4797.74641,1990-09-20,00:00:00
ob_14_40,4796.78641,1991-03-11,00:00:00
ob_14_41,4797.21641,1991-12-05,00:00:00
ob_14_42,4797.72641,1992-06-10,00:00:00
ob_14_43,4796.946410000001,1992-09-15,00:00:00
ob_14_44,4796.49641,1993-01-04,00:00:00
ob_14_45,4796.75641,1994-03-24,00:00:00
ob_14_46,4790.81641,1994-09-08,00:00:00
ob_14_47,4798.01641,1996-03-05,00:00:00
ob_14_48,4798.0764100000015,1996-12-11,00:00:00
ob_14_49,4800.06641,1997-06-26,00:00:00
ob_14_50,4791.51641,2004-12-16,00:00:00
ob_14_51,4791.83641,2005-03-07,00:00:00
ob_14_52,4792.13641,2005-04-12,00:00:00
ob_14_53,4791.04641,2005-05-04,00:00:00
ob_14_54,4793.23641,2005-06-09,00:00:00
ob_14_55,4792.89641,2005-07-07,00:00:00
ob_14_56,4789.366410000001,2005-08-01,00:00:00
ob_14_57,4788.946410000001,2005-09-01,00:00:00
ob_14_58,4792.09641,2005-10-05,00:00:00
ob_14_59,4791.866410000001,2005-11-07,00:00:00
ob_14_60,4792.54641,2005-12-12,00:00:00
ob_14_61,4794.60641,2006-03-01,00:00:00
ob_14_62,4792.866410000001,2006-04-11,00:00:00
ob_14_63,4794.616410000001,2006-05-08,00:00:00
ob_14_64,4793.446410000001,2006-06-12,00:00:00
ob_14_65,4794.74641,2006-07-05,00:00:00
ob_14_66,4794.64641,2006-08-02,00:00:00
ob_14_67,4794.05641,2006-08-30,00:00:00
ob_14_68,4793.866410000001,2006-10-31,00:00:00
ob_14_69,4794.56641,2006-12-18,00:00:00
ob_14_70,4794.70641,2007-01-10,00:00:00
ob_14_71,4790.14641,2007-08-07,00:00:00
ob_142_4,4721.8597899999995,1981-06-18,00:00:00
ob_142_5,4721.52979,1981-07-22,00:00:00
ob_142_6,4721.04979,1981-08-18,00:00:00
ob_142_7,4720.62979,1981-09-18,00:00:00
ob_142_8,4720.66979,1981-10-20,00:00:00
ob_142_9,4721.96979,1981-11-19,00:00:00
ob_142_10,4721.74979,1981-12-16,00:00:00
ob_142_11,4722.00979,1982-01-24,00:00:00
ob_142_12,4722.16979,1982-02-18,00:00:00
ob_142_13,4721.84979,1982-03-18,00:00:00
ob_142_14,4721.52979,1982-04-20,00:00:00
ob_142_15,4721.40979,1982-05-19,00:00:00
ob_142_16,4722.11979,1982-09-22,00:00:00
ob_142_17,4722.12979,1982-10-20,00:00:00
ob_142_18,4722.3597899999995,1983-02-24,00:00:00
ob_142_19,4721.52979,1983-05-19,00:00:00
ob_142_20,4721.84979,1983-08-16,00:00:00
ob_142_21,4722.07979,1983-10-12,00:00:00
ob_142_22,4722.24979,1985-12-10,00:00:00
ob_142_23,4721.19979,1987-08-18,00:00:00
ob_142_24,4721.29979,1987-12-08,00:00:00
ob_142_25,4721.79979,1988-03-08,00:00:00
ob_142_26,4721.8597899999995,1988-06-06,00:00:00
ob_142_27,4721.73979,1988-07-12,00:00:00
ob_142_28,4721.25979,1988-08-16,00:00:00
ob_142_29,4720.78979,1988-09-19,00:00:00
ob_142_30,4721.78979,1991-12-06,00:00:00
ob_142_31,4720.7297899999985,1998-04-30,00:00:00
ob_142_32,4720.19979,2004-12-16,00:00:00
ob_142_33,4721.19979,2005-02-02,00:00:00
ob_142_34,4720.8997899999995,2005-03-07,00:00:00
ob_142_35,4720.33979,2005-04-12,00:00:00
ob_142_36,4720.50979,2005-05-04,00:00:00
ob_142_37,4721.08979,2005-06-07,00:00:00
ob_142_38,4721.17979,2005-07-07,00:00:00
ob_142_39,4721.62979,2005-08-03,00:00:00
ob_142_40,4721.30979,2005-09-02,00:00:00
ob_142_41,4721.79979,2005-10-06,00:00:00
ob_142_42,4721.66979,2005-11-08,00:00:00
ob_142_43,4721.75979,2005-12-12,00:00:00
ob_142_44,4722.71979,2005-12-19,00:00:00
ob_142_45,4722.36979,2006-01-12,00:00:00
ob_142_46,4722.44979,2006-03-02,00:00:00
ob_142_47,4721.62979,2006-04-12,00:00:00
ob_142_48,4721.67979,2006-05-09,00:00:00
ob_142_49,4721.55979,2006-06-13,00:00:00
ob_142_50,4722.1097899999995,2006-07-06,00:00:00
ob_142_51,4722.13979,2006-08-01,00:00:00
ob_142_52,4721.33979,2006-08-31,00:00:00
ob_142_53,4721.3997899999995,2006-11-01,00:00:00
ob_142_54,4721.1097899999995,2006-12-19,00:00:00
ob_142_55,4721.16979,2007-01-11,00:00:00
ob_142_56,4721.3997899999995,2007-02-07,00:00:00
ob_142_57,4720.59979,2007-03-20,00:00:00
ob_142_58,4721.53979,2007-04-17,00:00:00
ob_142_59,4722.11979,2007-05-08,00:00:00
ob_142_60,4722.3997899999995,2007-06-07,00:00:00
ob_142_61,4720.88979,2007-07-11,00:00:00
ob_142_62,4720.06979,2007-08-08,00:00:00
ob_142_63,4719.65979,2007-12-27,00:00:00
ob_142_64,4721.2297899999985,2008-03-13,00:00:00
ob_142_65,4721.82979,2008-06-25,00:00:00
ob_142_66,4719.1097899999995,2008-09-26,00:00:00
ob_142_67,4719.32979,2008-12-24,00:00:00
ob_142_68,4721.73979,2009-03-19,00:00:00
ob_142_69,4721.6097899999995,2009-06-30,00:00:00
ob_142_70,4719.59979,2009-09-24,00:00:00
ob_142_71,4720.61979,2010-01-14,00:00:00
ob_142_72,4720.28979,2010-03-19,00:00:00
ob_142_73,4721.2297899999985,2010-07-06,00:00:00
ob_142_74,4719.9797899999985,2010-09-30,00:00:00
ob_142_75,4721.06979,2011-01-20,00:00:00
ob_142_76,4721.71979,2011-05-03,00:00:00
ob_142_77,4721.36979,2011-06-15,00:00:00
ob_142_78,4721.57979,2011-09-29,00:00:00
ob_142_79,4721.82979,2011-11-29,00:00:00
ob_142_80,4720.96979,2012-03-12,00:00:00
ob_142_81,4720.78979,2012-06-26,00:00:00
ob_142_82,4719.27979,2012-10-16,00:00:00
ob_142_83,4719.9797899999985,2012-12-11,00:00:00
ob_142_84,4720.28979,2013-03-26,00:00:00
ob_142_85,4720.05979,2013-05-30,00:00:00
ob_142_86,4720.55979,2013-07-02,00:00:00
ob_142_87,4720.19979,2013-09-05,00:00:00
ob_142_88,4720.03979,2013-12-18,00:00:00
ob_142_89,4720.49979,2014-02-25,00:00:00
ob_142_90,4721.21979,2014-06-10,00:00:00
ob_142_91,4718.94979,2014-09-24,00:00:00
ob_142_92,4719.1497899999995,2014-12-23,00:00:00
ob_142_93,4719.13979,2015-03-18,00:00:00
ob_142_94,4721.54979,2015-06-10,00:00:00
ob_142_95,4718.88979,2015-09-21,00:00:00
ob_143_1,5273.93408,1990-11-02,00:00:00
ob_143_2,5273.18408,1991-03-06,00:00:00
ob_143_3,5252.39408,1991-06-11,00:00:00
ob_143_4,5260.694079999998,1991-08-06,00:00:00
ob_143_5,5272.58408,1991-12-04,00:00:00
ob_143_6,5272.694079999998,1992-03-11,00:00:00
ob_143_7,5270.7840799999985,1992-09-14,00:00:00
ob_143_8,5279.5340799999985,1993-09-13,00:00:00
